[ atoms ]
; nr	type	resnr	residu	atom	cgnr	charge	mass
   157       HAL2      1    TOCL2    H3S    157      0.090     1.0080   ; qtot -2.000
   158       CTL2      1    TOCL2    CC4    158     -0.180    12.0110   ; qtot -2.180
   159       HAL2      1    TOCL2    H4R    159      0.090     1.0080   ; qtot -2.090
   160       HAL2      1    TOCL2    H4S    160      0.090     1.0080   ; qtot -2.000
   161       CTL2      1    TOCL2    CC5    161     -0.180    12.0110   ; qtot -2.180
   162       HAL2      1    TOCL2    H5R    162      0.090     1.0080   ; qtot -2.090
   163       HAL2      1    TOCL2    H5S    163      0.090     1.0080   ; qtot -2.000
   164       CTL2      1    TOCL2    CC6    164     -0.180    12.0110   ; qtot -2.180
   165       HAL2      1    TOCL2    H6R    165      0.090     1.0080   ; qtot -2.090
   166       HAL2      1    TOCL2    H6S    166      0.090     1.0080   ; qtot -2.000
   167       CTL2      1    TOCL2    CC7    167     -0.180    12.0110   ; qtot -2.180
   168       HAL2      1    TOCL2    H7R    168      0.090     1.0080   ; qtot -2.090
   169       HAL2      1    TOCL2    H7S    169      0.090     1.0080   ; qtot -2.000
   170       CTL2      1    TOCL2    CC8    170     -0.180    12.0110   ; qtot -2.180
   171       HAL2      1    TOCL2    H8R    171      0.090     1.0080   ; qtot -2.090
   172       HAL2      1    TOCL2    H8S    172      0.090     1.0080   ; qtot -2.000
   173       CEL1      1    TOCL2    CC9    173     -0.150    12.0110   ; qtot -2.150
   174       HEL1      1    TOCL2    H9R    174      0.150     1.0080   ; qtot -2.000
   175       CEL1      1    TOCL2   CC10    175     -0.150    12.0110   ; qtot -2.150
   176       HEL1      1    TOCL2   H10R    176      0.150     1.0080   ; qtot -2.000
   177       CTL2      1    TOCL2   CC11    177     -0.180    12.0110   ; qtot -2.180
   178       HAL2      1    TOCL2   H11R    178      0.090     1.0080   ; qtot -2.090
   179       HAL2      1    TOCL2   H11S    179      0.090     1.0080   ; qtot -2.000
   180       CTL2      1    TOCL2   CC12    180     -0.180    12.0110   ; qtot -2.180
   181       HAL2      1    TOCL2   H12R    181      0.090     1.0080   ; qtot -2.090
   182       HAL2      1    TOCL2   H12S    182      0.090     1.0080   ; qtot -2.000
   183       CTL2      1    TOCL2   CC13    183     -0.180    12.0110   ; qtot -2.180
   184       HAL2      1    TOCL2   H13R    184      0.090     1.0080   ; qtot -2.090
   185       HAL2      1    TOCL2   H13S    185      0.090     1.0080   ; qtot -2.000
   186       CTL2      1    TOCL2   CC14    186     -0.180    12.0110   ; qtot -2.180
   187       HAL2      1    TOCL2   H14R    187      0.090     1.0080   ; qtot -2.090
   188       HAL2      1    TOCL2   H14S    188      0.090     1.0080   ; qtot -2.000
   189       CTL2      1    TOCL2   CC15    189     -0.180    12.0110   ; qtot -2.180
   190       HAL2      1    TOCL2   H15R    190      0.090     1.0080   ; qtot -2.090
   191       HAL2      1    TOCL2   H15S    191      0.090     1.0080   ; qtot -2.000
   192       CTL2      1    TOCL2   CC16    192     -0.180    12.0110   ; qtot -2.180
   193       HAL2      1    TOCL2   H16R    193      0.090     1.0080   ; qtot -2.090
   194       HAL2      1    TOCL2   H16S    194      0.090     1.0080   ; qtot -2.000
   195       CTL2      1    TOCL2   CC17    195     -0.180    12.0110   ; qtot -2.180
   196       HAL2      1    TOCL2   H17R    196      0.090     1.0080   ; qtot -2.090
   197       HAL2      1    TOCL2   H17S    197      0.090     1.0080   ; qtot -2.000
   198       CTL3      1    TOCL2   CC18    198     -0.270    12.0110   ; qtot -2.270
   199       HAL3      1    TOCL2   H18R    199      0.090     1.0080   ; qtot -2.180
   200       HAL3      1    TOCL2   H18S    200      0.090     1.0080   ; qtot -2.090
   201       HAL3      1    TOCL2   H18T    201      0.090     1.0080   ; qtot -2.000
